"TLONGDD","TLATDD","RLONGDD","RLATDD","TAGNO","SPECIES","TDATE","UNIQUE","TGEAR","HOOKTYPE","TDEPTHFT","TLENIN","TWTLBS","RDATE","RGEAR","RETDEPTH"
-80.9333333333333,29.7666666666667,-80.95,29.8333333333333,"28081","RED SNAPPER",1999-05-29,11356,"RR","",70,17,NA,1999-07-04,"RR",80
-81.1333333333333,29.9,-81.1333333333333,29.9,"29230","RED SNAPPER",1999-11-07,12040,"RR","J",70,NA,NA,1999-11-20,"RR",70
-81.2,29.9166666666667,-81.2,29.9166666666667,"29246","RED SNAPPER",1999-12-28,12056,"RR","J",54,16,NA,2000-03-12,"RR",55
-81.1166666666667,29.9,-81.1166666666667,29.8666666666667,"29248","RED SNAPPER",1999-12-29,12058,"RR","J",65,14,NA,2001-05-15,"RR",68
-81.1166666666667,29.9,-81.1166666666667,29.9,"29251","RED SNAPPER",1999-12-29,12061,"RR","J",65,17,NA,2000-04-27,"RR",75
-81.1166666666667,29.9,-81.1333333333333,29.8833333333333,"29252","RED SNAPPER",1999-12-29,12064,"RR","J",65,14,NA,2000-08-21,"RR",68
-81.1166666666667,29.9,-81.1333333333333,29.8833333333333,"29254","RED SNAPPER",1999-12-29,12066,"RR","J",65,13,NA,2000-08-19,"RR",60
-81.1,29.9,-81.1166666666667,29.9,"29261","RED SNAPPER",1999-12-31,12076,"RR","J",65,13,NA,2000-10-19,"RR",70
-81.1,29.9,-81.1166666666667,29.9,"29263","RED SNAPPER",1999-12-31,12079,"RR","J",60,14,NA,2000-08-19,"RR",60
-81.1166666666667,29.9,-81.1166666666667,29.9,"29275","RED SNAPPER",2000-01-16,12087,"RR","J",65,16,NA,2000-06-17,"RR",70
-81.0166666666667,29.9333333333333,-81.0166666666667,29.9333333333333,"29301","RED SNAPPER",2000-03-02,12115,"RR","J",55,14,NA,2000-09-23,"RR",55
-81,30.2166666666667,-81,30.2166666666667,"29313","RED SNAPPER",2000-03-03,12128,"RR","J",90,17,NA,2000-12-16,"RR",90
-81,30.2166666666667,-81,30.2166666666667,"29316","RED SNAPPER",2000-03-04,12130,"RR","J",90,18,NA,2000-09-18,"RR",100
-81.2,29.9166666666667,-81.2,29.9,"29323","RED SNAPPER",2000-03-10,12138,"RR","J",54,14,NA,2000-04-21,"RR",54
-81.2,29.9166666666667,-81.2,29.9,"29325","RED SNAPPER",2000-03-10,12142,"RR","J",54,12,NA,2000-07-05,"RR",54
-80.7333333333333,29.7333333333333,-80.7333333333333,29.7333333333333,"29351","RED SNAPPER",2000-04-21,12170,"RR","J",110,16,NA,2000-05-21,"RR",100
-80.7666666666667,29.7333333333333,-80.9833333333333,29.8333333333333,"29355","RED SNAPPER",2000-04-21,12177,"RR","J",80,17,NA,2000-09-03,"RR",75
-81.1166666666667,29.9,-80.9833333333333,29.9,"29363","RED SNAPPER",2000-04-27,12186,"RR","",75,16,NA,2001-04-03,"RR",65
-80.9833333333333,29.8333333333333,-80.95,29.8333333333333,"29365","RED SNAPPER",2000-05-02,12189,"RR","J",85,16,NA,2001-09-01,"RR",80
-80.8333333333333,29.9166666666667,-80.8333333333333,29.9166666666667,"29372","RED SNAPPER",2000-05-08,12196,"RR","",90,18,NA,2000-11-07,"RR",95
-80.85,30,-80.9833333333333,29.8333333333333,"29376","RED SNAPPER",2000-05-08,12200,"RR","J",90,15,NA,2001-06-27,"RR",80
-81.1166666666667,29.9,-81.1166666666667,29.9,"29384","RED SNAPPER",2000-05-09,12210,"RR","",65,17,NA,2000-11-29,"RR",61
-80.9833333333333,29.8333333333333,-80.95,29.8333333333333,"29392","RED SNAPPER",2000-05-02,12218,"RR","J",83,18,NA,2001-05-31,"RR",65
-81.0333333333333,29.9,-81.1166666666667,29.9,"29803","RED SNAPPER",1999-10-22,12504,"RR","J",63,17,NA,2000-11-24,"RR",65
-81.0333333333333,29.9,-81.0333333333333,29.9,"29804","RED SNAPPER",1999-10-22,12505,"RR","J",63,17.5,NA,1999-12-20,"RR",63
-81.0333333333333,29.9,-81.0333333333333,29.9,"29807","RED SNAPPER",1999-10-22,12508,"RR","J",63,16.5,NA,1999-11-10,"RR",63
-80.8,29.9,-80.8,29.9,"30677","RED SNAPPER",2000-02-07,12969,"RR","J",100,16,NA,2000-11-01,"RR",140
-81.15,30.1833333333333,-81.15,30.1833333333333,"31011","RED SNAPPER",1999-09-09,13085,"RR","J",75,12,NA,1999-12-28,"RR",75
-81.15,30.1833333333333,-81.15,30.1833333333333,"31012","RED SNAPPER",1999-09-09,13086,"RR","J",75,11.25,NA,2000-04-27,"RR",78
-81.0833333333333,30.2,-81.0833333333333,30.2,"31025","RED SNAPPER",1999-09-09,13100,"RR","J",65,12.75,NA,2000-03-25,"RR",65
-81.0333333333333,29.9,-81.15,30.1833333333333,"31102","RED SNAPPER",1999-10-22,13185,"RR","J",63,11.25,NA,2000-04-27,"RR",78
-81,30.2166666666667,-81,30.25,"31627","RED SNAPPER",2000-08-15,13538,"RR","J",95,18,NA,2001-05-26,"DIVER",98
-81.1166666666667,29.9,-81.1166666666667,29.9,"33908","RED SNAPPER",2000-06-03,14666,"RR","J",74,14,NA,2001-06-05,"RR",70
-80.9333333333333,29.7666666666667,-80.9166666666667,29.75,"33916","RED SNAPPER",2000-06-03,14676,"RR","J",68,19,NA,2000-08-21,"RR",68
-81.1166666666667,29.9,-81.1333333333333,29.8666666666667,"33922","RED SNAPPER",2000-06-07,14684,"RR","J",74,14,NA,2001-12-28,"RR",68
-80.9833333333333,29.8333333333333,-80.9833333333333,29.8333333333333,"33933","RED SNAPPER",2000-06-10,14697,"RR","J",85,16,NA,2001-07-07,"RR",80
-81.1333333333333,29.8833333333333,-81.1333333333333,29.8833333333333,"33943","RED SNAPPER",2000-07-01,14709,"RR","J",60,17,NA,2000-07-31,"RR",60
-80.8166666666667,29.8333333333333,-80.35,30.0166666666667,"33944","RED SNAPPER",2000-06-20,14710,"RR","J",75,15,NA,2001-05-19,"RR",138
-81.1333333333333,29.8833333333333,-81.1166666666667,29.9,"33951","RED SNAPPER",2000-07-01,14717,"RR","J",60,12,NA,2000-07-25,"RR",65
-81.1166666666667,29.9,-81.1166666666667,29.8666666666667,"33979","RED SNAPPER",2000-08-16,14747,"RR","J",70,17,NA,2001-06-28,"RR",68
-81.1166666666667,29.9,-81.1166666666667,29.8666666666667,"33981","RED SNAPPER",2000-08-16,14751,"RR","J",70,13,NA,2001-05-15,"RR",68
